split,source_line,file_name,annotation_index,class,original_bbox_xywh,cleaned_bbox_xywh,status,image_width,image_height,original_area,cleaned_area
test,21,Rec14_wcp_ss_port_00010_png_jpg.rf.53ebb13a7cf1411cc92f8389338d5470.jpg,0,Crab-Pot,"[211,97,24,37]","[211,97,24,37]",unchanged,640,640,888,888.0
test,21,Rec14_wcp_ss_port_00010_png_jpg.rf.53ebb13a7cf1411cc92f8389338d5470.jpg,1,Crab-Pot,"[389,401,32.5,34]","[389,401,32.5,34]",unchanged,640,640,1105,1105.0
test,21,Rec14_wcp_ss_port_00010_png_jpg.rf.53ebb13a7cf1411cc92f8389338d5470.jpg,2,Crab-Pot,"[479,385,35,39.5]","[479,385,35,39.5]",unchanged,640,640,1382.5,1382.5
test,21,Rec14_wcp_ss_port_00010_png_jpg.rf.53ebb13a7cf1411cc92f8389338d5470.jpg,3,Crab-Pot,"[124,385,28.5,32.5]","[124,385,28.5,32.5]",unchanged,640,640,926.25,926.25
test,21,Rec14_wcp_ss_port_00010_png_jpg.rf.53ebb13a7cf1411cc92f8389338d5470.jpg,4,Crab-Pot,"[0,596,27,34]","[0,596,27,34]",unchanged,640,640,918,918.0
test,21,Rec14_wcp_ss_port_00010_png_jpg.rf.53ebb13a7cf1411cc92f8389338d5470.jpg,5,Crab-Pot,"[88,618,33,22]","[88,618,33,22]",unchanged,640,640,726,726.0
test,22,TI0040_png_jpg.rf.8df54e2f9801967f8de36bbb5170ff97.jpg,0,Crab-Pot,"[300,310,37.5,47.5]","[300,310,37.5,47.5]",unchanged,640,640,1781.25,1781.25
test,24,Rec9_wcp_ss_port_00056_png_jpg.rf.28940054cd53dc24b636569c6560b3cb.jpg,0,Crab-Pot,"[512,220,23.5,21]","[512,220,23.5,21]",unchanged,640,640,493.5,493.5
test,25,Rec9_wcp_ss_star_00007_png_jpg.rf.c0440203e2cba92f40bfecfa40fc46cb.jpg,0,Crab-Pot,"[321,425,66,88]","[321,425,66,88]",unchanged,640,640,5808,5808.0
test,25,Rec9_wcp_ss_star_00007_png_jpg.rf.c0440203e2cba92f40bfecfa40fc46cb.jpg,1,Crab-Pot,"[511,525,48,57]","[511,525,48,57]",unchanged,640,640,2736,2736.0
test,27,Rec09_Sensor_Depth_wcp_ss_port_00015_jpg.rf.cce6ba9121e2326ded051da43c9da480.jpg,0,Crab-Pot,"[62,391,68.5,52.5]","[62,391,68.5,52.5]",unchanged,640,640,3596.25,3596.25
test,28,Rec9_wcp_ss_port_00048_png_jpg.rf.4ba0ff8105ed7a39b7d61a2a01adbcc9.jpg,0,Crab-Pot,"[218,599,60,41]","[218,599,60,41]",unchanged,640,640,2460,2460.0
test,29,Rec9_wcp_ss_star_00043_png_jpg.rf.8b231e191418257af5a64662a8d1e9ee.jpg,0,Crab-Pot,"[543,270,50,76]","[543,270,50,76]",unchanged,640,640,3800,3800.0
test,29,Rec9_wcp_ss_star_00043_png_jpg.rf.8b231e191418257af5a64662a8d1e9ee.jpg,1,Crab-Pot,"[608,287,32,77]","[608,287,32,77]",unchanged,640,640,2464,2464.0
test,31,Rec14_wcp_ss_star_00005_png_jpg.rf.6f9b90f2971eeffb412216a59e4234f2.jpg,0,Crab-Pot,"[236,51,25.5,36]","[236,51,25.5,36]",unchanged,640,640,918,918.0
test,31,Rec14_wcp_ss_star_00005_png_jpg.rf.6f9b90f2971eeffb412216a59e4234f2.jpg,1,Crab-Pot,"[252,153,26,42.5]","[252,153,26,42.5]",unchanged,640,640,1105,1105.0
test,31,Rec14_wcp_ss_star_00005_png_jpg.rf.6f9b90f2971eeffb412216a59e4234f2.jpg,2,Crab-Pot,"[31,551,29,35]","[31,551,29,35]",unchanged,640,640,1015,1015.0
test,32,Rec9_wcp_ss_star_00032_png_jpg.rf.8cbb8454ecca9b20a906a5635eddd5fa.jpg,0,Crab-Pot,"[543,47,46,69]","[543,47,46,69]",unchanged,640,640,3174,3174.0
test,33,Rec14_wcp_ss_port_00000_png_jpg.rf.0d0be191ad69b06ca3737be3bfb20d60.jpg,0,Crab-Pot,"[90,523,100,51]","[90,523,100,51]",unchanged,640,640,5100,5100.0
test,34,Rec9_wcp_ss_star_00006_png_jpg.rf.2514e63b825a686935d1013a428b3065.jpg,0,Crab-Pot,"[261,599,71,41]","[261,599,71,41]",unchanged,640,640,2911,2911.0
test,34,Rec9_wcp_ss_star_00006_png_jpg.rf.2514e63b825a686935d1013a428b3065.jpg,1,Crab-Pot,"[184,401,77,66]","[184,401,77,66]",unchanged,640,640,5082,5082.0
test,35,Rec9_wcp_ss_star_00040_png_jpg.rf.112337a71026aca7bc69a0eb9b588a85.jpg,0,Crab-Pot,"[504,516,83,42]","[504,516,83,42]",unchanged,640,640,3486,3486.0
test,37,Rec9_wcp_ss_port_00012_png_jpg.rf.67f34b167adf0e032e1a6f3adb85d65a.jpg,0,Crab-Pot,"[498,242,30,25]","[498,242,30,25]",unchanged,640,640,750,750.0
test,37,Rec9_wcp_ss_port_00012_png_jpg.rf.67f34b167adf0e032e1a6f3adb85d65a.jpg,1,Crab-Pot,"[392,329,27,24.5]","[392,329,27,24.5]",unchanged,640,640,661.5,661.5
test,40,Rec8_wcp_ss_port_00037_png_jpg.rf.ba0baadd6bb804833bd35b277aabde3c.jpg,0,Crab-Pot,"[388,475,31,23.5]","[388,475,31,23.5]",unchanged,640,640,728.5,728.5
test,41,Rec9_wcp_ss_star_00040_png_jpg.rf.76b19ec9ec6e78ca2d2db577c1003588.jpg,0,Crab-Pot,"[504,516,83,42]","[504,516,83,42]",unchanged,640,640,3486,3486.0
test,43,Rec9_wcp_ss_port_00022_png_jpg.rf.fa3756e0dc9095268930db64c9b83423.jpg,0,Crab-Pot,"[164,112,14.5,17]","[164,112,14.5,17]",unchanged,640,640,246.5,246.5
test,44,Rec8_wcp_ss_port_00006_png_jpg.rf.c678cf27d0ff9ced0097273466dfc214.jpg,0,Crab-Pot,"[287,250,33,43.5]","[287,250,33,43.5]",unchanged,640,640,1435.5,1435.5
test,44,Rec8_wcp_ss_port_00006_png_jpg.rf.c678cf27d0ff9ced0097273466dfc214.jpg,1,Crab-Pot,"[91,612,49,27.5]","[91,612,49,27.5]",unchanged,640,640,1347.5,1347.5
test,45,Rec9_wcp_ss_star_00030_png_jpg.rf.49af5b5d73bb0d0f8db4c5be6472b1e4.jpg,0,Crab-Pot,"[495,211,35.5,28.5]","[495,211,35.5,28.5]",unchanged,640,640,1011.75,1011.75
test,46,Rec9_wcp_ss_port_00034_png_jpg.rf.d1d5693b3cf4889181ad6b901cc73959.jpg,0,Crab-Pot,"[608,584,32,53]","[608,584,32,53]",unchanged,640,640,1696,1696.0
test,47,Rec9_wcp_ss_star_00032_png_jpg.rf.7640c3e8b15d82e209b1b298da0501dc.jpg,0,Crab-Pot,"[543,47,46,69]","[543,47,46,69]",unchanged,640,640,3174,3174.0
test,48,Rec9_wcp_ss_star_00043_png_jpg.rf.08f444f64e8555e1e4b6a11d9a80c7c0.jpg,0,Crab-Pot,"[66,571,66,48]","[66,571,66,48]",unchanged,640,640,3168,3168.0
test,49,Rec14_wcp_ss_star_00013_png_jpg.rf.4e48c268a30f26b1d23ca66965f04a91.jpg,0,Crab-Pot,"[327,523,60,43]","[327,523,60,43]",unchanged,640,640,2580,2580.0
test,49,Rec14_wcp_ss_star_00013_png_jpg.rf.4e48c268a30f26b1d23ca66965f04a91.jpg,1,Crab-Pot,"[553,515,68,40]","[553,515,68,40]",unchanged,640,640,2720,2720.0
test,50,Rec9_wcp_ss_port_00047_png_jpg.rf.a4a93e9e30bdcf72c078f6ea24198236.jpg,0,Crab-Pot,"[339,93,27,24.5]","[339,93,27,24.5]",unchanged,640,640,661.5,661.5
test,50,Rec9_wcp_ss_port_00047_png_jpg.rf.a4a93e9e30bdcf72c078f6ea24198236.jpg,1,Crab-Pot,"[572,68,20,26]","[572,68,20,26]",unchanged,640,640,520,520.0
test,51,Rec8_wcp_ss_star_00010_png_jpg.rf.d7cb5693f3c7826917f4c0553428c25f.jpg,0,Crab-Pot,"[313,95,21,23.5]","[313,95,21,23.5]",unchanged,640,640,493.5,493.5
test,52,Rec8_wcp_ss_star_00009_png_jpg.rf.2532f5d3e1481d8b353cf525738a71d8.jpg,0,Crab-Pot,"[432,617,45,23]","[432,617,45,23]",unchanged,640,640,1035,1035.0
test,53,Rec14_wcp_ss_port_00025_png_jpg.rf.93e2bc52ae80268e593ee766b2ece0cf.jpg,0,Crab-Pot,"[9,220,74,64]","[9,220,74,64]",unchanged,640,640,4736,4736.0
test,54,Rec9_wcp_ss_star_00057_png_jpg.rf.307d830e2d85f32863d398be0ffc0843.jpg,0,Crab-Pot,"[453,329,66,61]","[453,329,66,61]",unchanged,640,640,4026,4026.0
test,55,Rec8_wcp_ss_port_00025_png_jpg.rf.4b5f2a54691e0c5c8bd46806d927ad37.jpg,0,Crab-Pot,"[338,469,44,34]","[338,469,44,34]",unchanged,640,640,1496,1496.0
test,56,Rec9_wcp_ss_star_00052_png_jpg.rf.7683b9916147f6fc8656b2f47275ecb1.jpg,0,Crab-Pot,"[156,147,64,88]","[156,147,64,88]",unchanged,640,640,5632,5632.0
test,56,Rec9_wcp_ss_star_00052_png_jpg.rf.7683b9916147f6fc8656b2f47275ecb1.jpg,1,Crab-Pot,"[594,427,46,86]","[594,427,46,86]",unchanged,640,640,3956,3956.0
test,57,Rec9_wcp_ss_port_00043_png_jpg.rf.765b771a29fdf8ef0efe6d815bc34740.jpg,0,Crab-Pot,"[468,453,41,56]","[468,453,41,56]",unchanged,640,640,2296,2296.0
test,58,Rec9_wcp_ss_port_00057_png_jpg.rf.773e1ae1b5dbbb0ac71e7126f65ec230.jpg,0,Crab-Pot,"[540,211,60,41]","[540,211,60,41]",unchanged,640,640,2460,2460.0
test,59,Rec14_wcp_ss_port_00002_png_jpg.rf.1c7371f8da48dcf3f714d907c0551f76.jpg,0,Crab-Pot,"[297,403,54,57]","[297,403,54,57]",unchanged,640,640,3078,3078.0
test,60,Rec9_wcp_ss_star_00033_png_jpg.rf.001e7ccb4449fa9b0cc307b204dd953b.jpg,0,Crab-Pot,"[118,170,26,33.5]","[118,170,26,33.5]",unchanged,640,640,871,871.0
test,61,Rec9_wcp_ss_star_00009_png_jpg.rf.cf2a5e05b2e73b569ed18ee96fbea00b.jpg,0,Crab-Pot,"[310,76,61,49]","[310,76,61,49]",unchanged,640,640,2989,2989.0
test,61,Rec9_wcp_ss_star_00009_png_jpg.rf.cf2a5e05b2e73b569ed18ee96fbea00b.jpg,1,Crab-Pot,"[334,503,51,68]","[334,503,51,68]",unchanged,640,640,3468,3468.0
test,62,Rec9_wcp_ss_star_00032_png_jpg.rf.e14bd81e10f48abc6ddf73470ef6bc09.jpg,0,Crab-Pot,"[552,47,24,33]","[552,47,24,33]",unchanged,640,640,792,792.0
test,63,Rec14_wcp_ss_star_00002_png_jpg.rf.9485fc7aec7d370971f00204920bdbe0.jpg,0,Crab-Pot,"[150,429,69,43]","[150,429,69,43]",unchanged,640,640,2967,2967.0
test,64,Rec09_Sensor_Depth_wcp_ss_star_00010_png_jpg.rf.3dfa9aee10006b76e851b4b42e07b528.jpg,0,Crab-Pot,"[599,531,41,29]","[599,531,41,29]",unchanged,640,640,1189,1189.0
test,65,Rec8_wcp_ss_star_00018_png_jpg.rf.40f978f33f8ccd23a4ca4bb00648ab86.jpg,0,Crab-Pot,"[541,166,72,49.5]","[541,166,72,49.5]",unchanged,640,640,3564,3564.0
test,66,Rec09_Sensor_Depth_wcp_ss_star_00021_png_jpg.rf.2866aa91a79454f1549e3c0bfbe8df7e.jpg,0,Crab-Pot,"[191,546,15.5,18]","[191,546,15.5,18]",unchanged,640,640,279,279.0
test,67,Rec9_wcp_ss_port_00011_png_jpg.rf.1062b84cfea4b91c5e2353aec385a7b2.jpg,0,Crab-Pot,"[13,450,24,22]","[13,450,24,22]",unchanged,640,640,528,528.0
test,67,Rec9_wcp_ss_port_00011_png_jpg.rf.1062b84cfea4b91c5e2353aec385a7b2.jpg,1,Crab-Pot,"[437,474,25,33]","[437,474,25,33]",unchanged,640,640,825,825.0
test,67,Rec9_wcp_ss_port_00011_png_jpg.rf.1062b84cfea4b91c5e2353aec385a7b2.jpg,2,Crab-Pot,"[284,600,27,36]","[284,600,27,36]",unchanged,640,640,972,972.0
test,70,Rec14_wcp_ss_star_00012_png_jpg.rf.272914559ad8edb77e900d209cee2c8e.jpg,0,Crab-Pot,"[368,122,62,89]","[368,122,62,89]",unchanged,640,640,5518,5518.0
test,70,Rec14_wcp_ss_star_00012_png_jpg.rf.272914559ad8edb77e900d209cee2c8e.jpg,1,Crab-Pot,"[525,45,67,70]","[525,45,67,70]",unchanged,640,640,4690,4690.0
test,70,Rec14_wcp_ss_star_00012_png_jpg.rf.272914559ad8edb77e900d209cee2c8e.jpg,2,Crab-Pot,"[279,204,66,92]","[279,204,66,92]",unchanged,640,640,6072,6072.0
test,70,Rec14_wcp_ss_star_00012_png_jpg.rf.272914559ad8edb77e900d209cee2c8e.jpg,3,Crab-Pot,"[162,215,82,90]","[162,215,82,90]",unchanged,640,640,7380,7380.0
test,70,Rec14_wcp_ss_star_00012_png_jpg.rf.272914559ad8edb77e900d209cee2c8e.jpg,4,Crab-Pot,"[299,339,42,62]","[299,339,42,62]",unchanged,640,640,2604,2604.0
test,70,Rec14_wcp_ss_star_00012_png_jpg.rf.272914559ad8edb77e900d209cee2c8e.jpg,5,Crab-Pot,"[345,303,59,58]","[345,303,59,58]",unchanged,640,640,3422,3422.0
test,70,Rec14_wcp_ss_star_00012_png_jpg.rf.272914559ad8edb77e900d209cee2c8e.jpg,6,Crab-Pot,"[62,425,67,59]","[62,425,67,59]",unchanged,640,640,3953,3953.0
test,70,Rec14_wcp_ss_star_00012_png_jpg.rf.272914559ad8edb77e900d209cee2c8e.jpg,7,Crab-Pot,"[91,547,59,54]","[91,547,59,54]",unchanged,640,640,3186,3186.0
test,70,Rec14_wcp_ss_star_00012_png_jpg.rf.272914559ad8edb77e900d209cee2c8e.jpg,8,Crab-Pot,"[227,403,60,39]","[227,403,60,39]",unchanged,640,640,2340,2340.0
test,70,Rec14_wcp_ss_star_00012_png_jpg.rf.272914559ad8edb77e900d209cee2c8e.jpg,9,Crab-Pot,"[328,353,46,49]","[328,353,46,49]",unchanged,640,640,2254,2254.0
test,71,Rec8_wcp_ss_port_00006_png_jpg.rf.b76f48c8ff6e174170e0e19a5fddd4ea.jpg,0,Crab-Pot,"[292,252,21.5,34.5]","[292,252,21.5,34.5]",unchanged,640,640,741.75,741.75
test,71,Rec8_wcp_ss_port_00006_png_jpg.rf.b76f48c8ff6e174170e0e19a5fddd4ea.jpg,1,Crab-Pot,"[99,617,31,23]","[99,617,31,23]",unchanged,640,640,713,713.0
test,72,Rec9_wcp_ss_star_00005_png_jpg.rf.ee4704c6015f37afbd18563ab839e796.jpg,0,Crab-Pot,"[297,587,64,50]","[297,587,64,50]",unchanged,640,640,3200,3200.0
test,72,Rec9_wcp_ss_star_00005_png_jpg.rf.ee4704c6015f37afbd18563ab839e796.jpg,1,Crab-Pot,"[108,438,63,55]","[108,438,63,55]",unchanged,640,640,3465,3465.0
test,73,Rec9_wcp_ss_port_00003_png_jpg.rf.bc7e07e6c6bebdc298bb3eb3a1fa6cb2.jpg,0,Crab-Pot,"[84,119,21,26]","[84,119,21,26]",unchanged,640,640,546,546.0
test,74,Rec14_wcp_ss_star_00013_png_jpg.rf.28517ffb17496f92c62edf718ce9caae.jpg,0,Crab-Pot,"[327,523,60,43]","[327,523,60,43]",unchanged,640,640,2580,2580.0
test,74,Rec14_wcp_ss_star_00013_png_jpg.rf.28517ffb17496f92c62edf718ce9caae.jpg,1,Crab-Pot,"[553,515,68,40]","[553,515,68,40]",unchanged,640,640,2720,2720.0
test,75,Rec8_wcp_ss_port_00009_png_jpg.rf.7b1033db656ca573e0391ebd712a5270.jpg,0,Crab-Pot,"[476,100,30.5,39.5]","[476,100,30.5,39.5]",unchanged,640,640,1204.75,1204.75
test,75,Rec8_wcp_ss_port_00009_png_jpg.rf.7b1033db656ca573e0391ebd712a5270.jpg,1,Crab-Pot,"[78,185,34.5,35]","[78,185,34.5,35]",unchanged,640,640,1207.5,1207.5
test,76,Rec9_wcp_ss_port_00026_png_jpg.rf.8308c8cf38197494f668701460405606.jpg,0,Crab-Pot,"[526,467,26.5,18.5]","[526,467,26.5,18.5]",unchanged,640,640,490.25,490.25
test,77,Rec14_wcp_ss_port_00022_png_jpg.rf.e8f7cf740f29b219d30c8fa0aaddceba.jpg,0,Crab-Pot,"[0,82,67,80]","[0,82,67,80]",unchanged,640,640,5360,5360.0
test,78,Rec9_wcp_ss_port_00041_png_jpg.rf.2c3e22f06e85ea76b205d15e84314f5d.jpg,0,Crab-Pot,"[338,35,70,88]","[338,35,70,88]",unchanged,640,640,6160,6160.0
test,78,Rec9_wcp_ss_port_00041_png_jpg.rf.2c3e22f06e85ea76b205d15e84314f5d.jpg,1,Crab-Pot,"[500,35,70,119]","[500,35,70,119]",unchanged,640,640,8330,8330.0
test,78,Rec9_wcp_ss_port_00041_png_jpg.rf.2c3e22f06e85ea76b205d15e84314f5d.jpg,2,Crab-Pot,"[180,212,54,52]","[180,212,54,52]",unchanged,640,640,2808,2808.0
test,79,Rec9_wcp_ss_port_00010_png_jpg.rf.4b1d08d690d67dafe0247db9ed687a0f.jpg,0,Crab-Pot,"[68,207,41.5,41.5]","[68,207,41.5,41.5]",unchanged,640,640,1722.25,1722.25
test,80,Rec8_wcp_ss_star_00030_png_jpg.rf.7a6b26c459173208ccc2a5c89c4e69ee.jpg,0,Crab-Pot,"[543,581,54,45]","[543,581,54,45]",unchanged,640,640,2430,2430.0
test,81,Rec8_wcp_ss_port_00009_png_jpg.rf.066bdb27c5922d7721ed6b4e10630fa0.jpg,0,Crab-Pot,"[477,100,32,36]","[477,100,32,36]",unchanged,640,640,1152,1152.0
test,81,Rec8_wcp_ss_port_00009_png_jpg.rf.066bdb27c5922d7721ed6b4e10630fa0.jpg,1,Crab-Pot,"[76,185,35,36]","[76,185,35,36]",unchanged,640,640,1260,1260.0
test,82,Rec14_wcp_ss_star_00002_png_jpg.rf.299e23cffc0c0418be79286e830e8084.jpg,0,Crab-Pot,"[150,429,69,43]","[150,429,69,43]",unchanged,640,640,2967,2967.0
test,83,Rec9_wcp_ss_star_00052_png_jpg.rf.e31a2b6517f316feee73f64655e2952b.jpg,0,Crab-Pot,"[156,147,64,88]","[156,147,64,88]",unchanged,640,640,5632,5632.0
test,83,Rec9_wcp_ss_star_00052_png_jpg.rf.e31a2b6517f316feee73f64655e2952b.jpg,1,Crab-Pot,"[594,427,46,86]","[594,427,46,86]",unchanged,640,640,3956,3956.0
test,84,Rec9_wcp_ss_port_00063_png_jpg.rf.81480e3a036ee0528e46a59d3af7f0b3.jpg,0,Crab-Pot,"[191,487,107,112]","[191,487,107,112]",unchanged,640,640,11984,11984.0
test,84,Rec9_wcp_ss_port_00063_png_jpg.rf.81480e3a036ee0528e46a59d3af7f0b3.jpg,1,Crab-Pot,"[0,597,71,43]","[0,597,71,43]",unchanged,640,640,3053,3053.0
test,85,Rec9_wcp_ss_star_00064_png_jpg.rf.e33856f7bd6882154254d434117d51d5.jpg,0,Crab-Pot,"[108,538,91,78]","[108,538,91,78]",unchanged,640,640,7098,7098.0
test,86,Rec09_Sensor_Depth_wcp_ss_port_00015_png_jpg.rf.942737c50c1cfbe04d2f4408cbf52464.jpg,0,Crab-Pot,"[543,401,48.5,32]","[543,401,48.5,32]",unchanged,640,640,1552,1552.0
test,87,Rec14_wcp_ss_star_00011_png_jpg.rf.8fc0a8a54d8f8d216c102d3aee25e330.jpg,0,Crab-Pot,"[15,182,88,84]","[15,182,88,84]",unchanged,640,640,7392,7392.0
test,87,Rec14_wcp_ss_star_00011_png_jpg.rf.8fc0a8a54d8f8d216c102d3aee25e330.jpg,1,Crab-Pot,"[527,316,67,76]","[527,316,67,76]",unchanged,640,640,5092,5092.0
test,87,Rec14_wcp_ss_star_00011_png_jpg.rf.8fc0a8a54d8f8d216c102d3aee25e330.jpg,2,Crab-Pot,"[210,385,80,53]","[210,385,80,53]",unchanged,640,640,4240,4240.0
test,87,Rec14_wcp_ss_star_00011_png_jpg.rf.8fc0a8a54d8f8d216c102d3aee25e330.jpg,3,Crab-Pot,"[576,474,64,51]","[576,474,64,51]",unchanged,640,640,3264,3264.0
test,87,Rec14_wcp_ss_star_00011_png_jpg.rf.8fc0a8a54d8f8d216c102d3aee25e330.jpg,4,Crab-Pot,"[201,568,83,47]","[201,568,83,47]",unchanged,640,640,3901,3901.0
test,88,Rec09_Sensor_Depth_wcp_ss_port_00036_png_jpg.rf.e5e8f9235d0d8e5587b3ec9ebc12f176.jpg,0,Crab-Pot,"[507,517,20.5,14.5]","[507,517,20.5,14.5]",unchanged,640,640,297.25,297.25
test,90,Rec14_wcp_ss_star_00010_png_jpg.rf.d5615b7926f6ffb5a94cd5f79be6879e.jpg,0,Crab-Pot,"[359,352,52,59]","[359,352,52,59]",unchanged,640,640,3068,3068.0
test,91,Rec9_wcp_ss_port_00061_png_jpg.rf.ba3dc01fee7dd88fe52bfbb82910658f.jpg,0,Crab-Pot,"[591,511,49,67]","[591,511,49,67]",unchanged,640,640,3283,3283.0
test,92,Rec8_wcp_ss_star_00028_png_jpg.rf.02ec686cbb792f6dd40a46934dbbb494.jpg,0,Crab-Pot,"[64,594,25.5,32]","[64,594,25.5,32]",unchanged,640,640,816,816.0
test,93,Rec14_wcp_ss_star_00010_png_jpg.rf.592564799008d10722da92508f310bf8.jpg,0,Crab-Pot,"[359,352,52,59]","[359,352,52,59]",unchanged,640,640,3068,3068.0
test,94,Rec9_wcp_ss_port_00064_png_jpg.rf.bfd1d9d14c3fbd9559ef0632eb42ce0a.jpg,0,Crab-Pot,"[386,267,46,33]","[386,267,46,33]",unchanged,640,640,1518,1518.0
test,96,Rec8_wcp_ss_port_00006_png_jpg.rf.b56a5d3fb2df57fdb0ebe3abcedaf0eb.jpg,0,Crab-Pot,"[287,250,30.5,41]","[287,250,30.5,41]",unchanged,640,640,1250.5,1250.5
test,96,Rec8_wcp_ss_port_00006_png_jpg.rf.b56a5d3fb2df57fdb0ebe3abcedaf0eb.jpg,1,Crab-Pot,"[90,613,47,27]","[90,613,47,27]",unchanged,640,640,1269,1269.0
test,100,Rec8_wcp_ss_port_00022_png_jpg.rf.c1ac8727657e037c70003e876dad3a62.jpg,0,Crab-Pot,"[146,73,19,20]","[146,73,19,20]",unchanged,640,640,380,380.0
test,100,Rec8_wcp_ss_port_00022_png_jpg.rf.c1ac8727657e037c70003e876dad3a62.jpg,1,Crab-Pot,"[519,303,17,25]","[519,303,17,25]",unchanged,640,640,425,425.0
test,101,Rec9_wcp_ss_star_00046_png_jpg.rf.89cd15d85a1ec6b5a6622c6d00deea96.jpg,0,Crab-Pot,"[504,128,35.5,31]","[504,128,35.5,31]",unchanged,640,640,1100.5,1100.5
test,102,Rec14_wcp_ss_star_00013_png_jpg.rf.31e5e8690dd8d189e5aac1d01d53f8ff.jpg,0,Crab-Pot,"[327,523,60,43]","[327,523,60,43]",unchanged,640,640,2580,2580.0
